Price,Close,High,Low,Open,Volume
Ticker,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA
Date,,,,,
2020-01-02,115.34874725341797,115.34874725341797,111.5606918334961,112.94029235839844,3164766
2020-01-03,114.31989288330078,115.34874725341797,112.94029235839844,113.40795135498047,2858647
2020-01-06,114.4134292602539,115.30198669433594,111.7711410522461,113.17412567138672,2925106
2020-01-07,114.08606719970703,115.04476928710938,113.40795135498047,114.43681335449219,2867329
2020-01-08,117.5935287475586,117.73382568359375,113.40795135498047,113.68855285644531,4277365
2020-01-09,121.77909851074219,122.12984466552734,117.89750671386719,118.0845718383789,4717085
2020-01-10,121.12437438964844,124.04725646972656,119.37064361572266,121.80248260498047,4007640
2020-01-13,126.80645751953125,126.80645751953125,121.94277954101562,122.0596923828125,3667950
2020-01-14,126.26864624023438,128.723876953125,125.33332824707031,126.26864624023438,3547521
2020-01-15,125.47362518310547,127.11044311523438,124.39800262451172,125.52039337158203,3952173
2020-01-16,125.00596618652344,127.95223236083984,122.29352569580078,126.73631286621094,3583274
2020-01-17,127.0870590209961,127.27412414550781,124.16416931152344,125.80098724365234,2585629
2020-01-20,130.9452667236328,130.9452667236328,126.38556671142578,126.54924774169922,3167204
2020-01-21,130.7348175048828,132.6756134033203,130.0333251953125,130.29054260253906,3448775
2020-01-22,130.22039794921875,133.5174102783203,128.20944213867188,132.13780212402344,3855607
2020-01-23,132.30148315429688,132.62884521484375,128.4432830810547,130.19700622558594,3500351
2020-01-24,131.2960205078125,133.40049743652344,130.9452667236328,132.74575805664062,3215444
2020-01-27,125.80098724365234,129.30845642089844,125.68407440185547,128.723876953125,3217625
2020-01-28,133.26019287109375,133.26019287109375,126.29203033447266,126.29203033447266,4429013
2020-01-29,133.96168518066406,135.83233642578125,132.4651641845703,134.47610473632812,4254999
2020-01-30,132.1144256591797,132.5820770263672,128.6537322998047,131.81044006347656,4736714
2020-01-31,130.47760009765625,133.6343231201172,129.07461547851562,130.1034698486328,4146288
2020-02-03,132.1845703125,133.16665649414062,130.15023803710938,132.06765747070312,2626471
2020-02-04,134.8268585205078,137.1885528564453,133.58755493164062,134.68655395507812,3514592
2020-02-05,133.9850616455078,137.5860595703125,133.35372924804688,136.79103088378906,3686896
2020-02-06,130.54776000976562,135.97262573242188,130.47760009765625,135.62188720703125,4401044
2020-02-07,126.80645751953125,130.78158569335938,125.09949493408203,130.2437744140625,4178576
2020-02-10,122.4805908203125,129.8462677001953,120.51641082763672,126.26864624023438,5487385
2020-02-11,126.89999389648438,128.13929748535156,120.960693359375,124.39800262451172,4057933
2020-02-12,130.80496215820312,132.23133850097656,126.85322570800781,127.5079574584961,4501544
2020-02-13,133.40049743652344,133.9850616455078,126.50247955322266,128.41989135742188,5878010
2020-02-14,131.71690368652344,135.52835083007812,130.9452667236328,134.68655395507812,3921638
2020-02-17,137.6094512939453,140.11143493652344,133.6343231201172,135.62188720703125,7887668
2020-02-18,136.1363067626953,138.1940155029297,134.45272827148438,136.2064666748047,4087784
2020-02-19,135.29452514648438,137.7263641357422,134.70994567871094,136.44029235839844,3903890
2020-02-20,132.20794677734375,135.9258575439453,130.54776000976562,135.4582061767578,4763914
2020-02-21,131.9975128173828,135.20098876953125,129.5422821044922,130.12686157226562,4099331
2020-02-26,123.64974212646484,126.38556671142578,121.03083801269531,124.07064056396484,5743083
2020-02-27,117.49999237060547,124.86566162109375,116.9621810913086,121.59203338623047,6288606
2020-02-28,118.13134002685547,118.13134002685547,110.4149169921875,114.57711029052734,8424808
2020-03-02,122.87810516357422,124.95919799804688,116.49452209472656,118.55223083496094,6907942
2020-03-03,123.57959747314453,128.13929748535156,120.82038879394531,123.18208312988281,6242974
2020-03-04,122.64427185058594,127.34426879882812,121.28805541992188,127.20397186279297,4847778
2020-03-05,111.74775695800781,121.59203338623047,108.96517181396484,121.59203338623047,9064886
2020-03-06,105.99551391601562,108.52088928222656,100.66417694091797,103.18954467773438,12121070
2020-03-09,94.3741226196289,99.05074310302734,90.67959594726562,91.24079132080078,10389818
2020-03-10,109.87710571289062,109.92387390136719,98.86367797851562,105.223876953125,8779209
2020-03-11,100.73432159423828,109.36267852783203,93.29850006103516,105.223876953125,8588644
2020-03-12,79.50247955322266,90.79651641845703,71.48208618164062,84.1791000366211,7487977
